price,no_of_bedroom,no_of_bathroom,property_size,property_type,district,price_per_square
230000.0,3.0,2.0,800.0,Apartment,Kuala Lumpur,287.5
260000.0,3.0,2.0,843.0,Apartment,Kuala Lumpur,308.4223013048636
265000.0,2.0,2.0,886.0,Apartment,Kuala Lumpur,299.09706546275396
398000.0,3.0,2.0,940.0,Apartment,Kuala Lumpur,423.40425531914894
330000.0,3.0,2.0,905.0,Apartment,Ampang,364.64088397790056
270000.0,3.0,2.0,850.0,Apartment,Others,317.6470588235294
120000.0,2.0,1.0,549.0,Apartment,Kuala Lumpur,218.5792349726776
399000.0,3.0,2.0,893.0,Apartment,Kuala Lumpur,446.8085106382979
335000.0,3.0,2.0,1200.0,Apartment,Kuala Lumpur,279.1666666666667
355000.0,3.0,2.0,1215.0,Apartment,Kuala Lumpur,292.18106995884773
380000.0,3.0,2.0,1250.0,Apartment,Kuala Lumpur,304.0
335000.0,3.0,2.0,1220.0,Apartment,Kuala Lumpur,274.59016393442624
410000.0,3.0,2.0,926.0,Apartment,Others,442.7645788336933
380000.0,4.0,2.0,1307.0,Apartment,Others,290.7421576128539
260000.0,3.0,2.0,850.0,Apartment,Others,305.88235294117646
335000.0,3.0,2.0,826.0,Apartment,Kuala Lumpur,405.5690072639225
630000.0,4.0,2.0,1800.0,Apartment,Others,350.0
465000.0,3.0,3.0,1200.0,Apartment,Ampang,387.5
370000.0,3.0,2.0,1150.0,Apartment,Kuala Lumpur,321.7391304347826
360000.0,3.0,2.0,1010.0,Apartment,Kuala Lumpur,356.43564356435644
370000.0,3.0,2.0,1038.0,Apartment,Gombak,356.45472061657034
300000.0,3.0,2.0,800.0,Apartment,Others,375.0
240000.0,3.0,2.0,1100.0,Apartment,Others,218.1818181818182
440000.0,3.0,2.0,1044.0,Apartment,Others,421.455938697318
406000.0,2.0,2.0,670.0,Apartment,Kuala Lumpur,605.9701492537314
430000.0,3.0,2.0,1024.0,Apartment,Kuala Lumpur,419.921875
300000.0,2.0,2.0,879.0,Apartment,Kuala Lumpur,341.29692832764505
190000.0,2.0,1.0,530.0,Apartment,Kuala Lumpur,358.49056603773585
980000.0,4.0,2.0,2010.0,Apartment,Kuala Lumpur,487.5621890547264
320000.0,2.0,2.0,780.0,Apartment,Kuala Lumpur,410.2564102564103
320000.0,3.0,2.0,775.0,Apartment,Kuala Lumpur,412.9032258064516
550000.0,3.0,2.0,1090.0,Apartment,Others,504.58715596330273
300000.0,2.0,2.0,738.0,Apartment,Kuala Lumpur,406.5040650406504
340000.0,3.0,2.0,854.0,Apartment,Ampang,398.1264637002342
369000.0,3.0,2.0,854.0,Apartment,Ampang,432.08430913348946
255000.0,3.0,2.0,867.0,Apartment,Ampang,294.11764705882354
340000.0,3.0,2.0,1000.0,Apartment,Others,340.0
249000.0,3.0,2.0,750.0,Apartment,Kuala Lumpur,332.0
305000.0,3.0,2.0,856.0,Apartment,Others,356.30841121495325
430000.0,3.0,2.0,1221.0,Apartment,Kuala Lumpur,352.17035217035215
450000.0,3.0,2.0,1221.0,Apartment,Kuala Lumpur,368.55036855036855
450000.0,3.0,2.0,1228.0,Apartment,Kuala Lumpur,366.4495114006515
130000.0,3.0,2.0,650.0,Apartment,Others,200.0
450000.0,2.0,2.0,1400.0,Apartment,Kuala Lumpur,321.42857142857144
450000.0,4.0,3.0,1600.0,Apartment,Kuala Lumpur,281.25
470000.0,3.0,2.0,1079.0,Apartment,Kuala Lumpur,435.5885078776645
490000.0,3.0,2.0,1050.0,Apartment,Kuala Lumpur,466.6666666666667
480000.0,3.0,2.0,1079.0,Apartment,Kuala Lumpur,444.8563484708063
470000.0,3.0,2.0,1079.0,Apartment,Kuala Lumpur,435.5885078776645
430000.0,3.0,2.0,1163.0,Apartment,Kuala Lumpur,369.7334479793637
460000.0,3.0,3.0,1440.0,Apartment,Others,319.44444444444446
